ID,Название,Ключи,Данные
1040,т дополнительные {0} золота при выборе этого сокровища и в начале каждого раунда.,"dQ, H], i3?M",1448430686 1298072335 279972123
1041,ГОБЛИНСКИЙ КОМПОНЕНТ,,2849420783 622651648 3553080847
1042,"Снижает стоимость [случайного] навыка в магазине на {0} золота, но не более чем на {1} золота. (Технологии гоблинов, бессмысленные и беспощадные!)",J*&G,1768128249 3456719399 3203764000
1043,КНИГА НАСЛЕДИЯ,"`?@], ""<",1531592674 4058468892 2667558490
1044,"Если изучаемый навык и предыдуший изученный навык относятся к одной ветке, вы получите {0} золота.",,2022683664 3285185869 3479931176
1045,СУНДУК С ЗОЛОТОМ,"ynG, ){",1842383740 3441006958 754378075
1046,Получите {0} золота единоразово.,"y', :na",2153563394 2737754237 564023391
1047,КРОВАВЫЙ КАМЕНЬ,J4,335782588 3173855032 2878371197
1048,Получите {0} золота единоразово. Получение этого сокровища забер,"x(, 2_^",1536430731 1002200214 2702132560
1049,т {1} жизней игрока.,"q7, O , cL , p ",2765379180 515909715 1628157225
1050,СКЛАДСКАЯ ПОЛКА,_n5,1967338849 3561874156 927455874
1051,В магазине будет {0} дополнительный навык (автоматически обновляет магазин при получении сокровища),"6N, \p",3752700376 804703955 779312994
1052,НЕСГИБАЕМЫЕ НАПЛЕЧНИКИ,"CV, y#d, 2E",1076632049 3738500495 3716551882
1053,Вы получаете {0} золота после поражения в бою.,(~,1683628345 2801607069 2634150886
1054,ЛУННОЕ КОЛЬЦО,"t3H, ^N",2027527308 1869889122 3050211405
1055,"Когда в магазине появляется редкий навык, вы получаете {1} золота, но не более {2} золота.","`R, kK, m=zF2",69238731 4074059090 2465421037
1056,СОЛНЕЧНОЕ КОЛЬЦО,"hXma, ~N",249740630 385340470 579455660
1057,Слегка увеличивает вероятность появления в магазине Мифического навыка. Мифические навыки бесплатны.,"""[",3737142753 3152982942 3659484740
1058,КОПЬ,"mI, 3j=:?, aU",774634989 398110367 1449042757
1059,ОХОТНИКА ЗА СОКРОВИЩАМИ,"lo$/9{, %#, q1",1709390924 1186500704 1667199694
1060,"Базовый урон, наносимый врагам увеличивается на {0}. После победы над врагом вы получаете {1} золота за каждые {0} урона.",,2757101318 3094754907 2907854184
1061,КИРКА ИССЛЕДОВАТЕЛЯ,":~0p^, _b",956300983 505348791 1023269438
1062,"Вы получаете {0} золота за каждый новый, ранее не изученный навык.",v<,115621974 210885798 1550685991
1063,"Вы получаете {0} золота за каждый новый, ранее не изученный навык.Максимальная сумма не превышает {1} золота.","Nf, R*&, *n",816298577 2026723623 2792458604
1064,ЗЕЛЬЕ Т,"yFc, \W, |v",3388727154 3215033674 3103163339
1065,МНОЙ СИЛЫ,>J1L#R,4031290625 3187812577 3110737569
1066,"Шанс появления редких навыков в магазине навыков значительно увеличен, и при получении редкого навыка вы получаете {4} золота.","iB, @I",315779440 396475955 54058078
1067,ЗНАК УБЕЖИЩА,,1643738133 60948339 3373228435
1068,При поражении защищает игрока от потери жизней. Срабатывает до {0} раз.,`K,4238534649 2697208717 749103863
1069,ТУСКЛЫЙ КАМЕНЬ ЭНЕРГИИ,O^,967633914 3044465137 395891702
1070,В начале раунда вы получаете дополнительно ({0} + [уровень героя] х {1}) золота,,2492069955 1277105151 3450227291
1071,СЧАСТЛИВАЯ МОНЕТА,V~&,3451489855 1987137087 2621856633
1072,Если выбрать указанную ветку как,"f$4, KR, G<, 8f",2288373508 1432111709 2306037835
1073,счастливую,"Hf, /I{""",761796076 1954763290 2739254389
1074,изучение каждого навыка в ней будет давать {0} золота.,'E,3353135082 511991622 1256450086
1075,ЖЕЗЛ БОЖЕСТВЕННОГО ПОКРОВИТЕЛЯ,HU,942432201 3173962613 3660332636
1076,Когда любая ветка навыков достигает 3 зв,"NB, DD, +'",1537705113 2562375318 3272602480
1077,"зд, Мифический навык этой ветки гарантированно появляется в магазине (если они еще остались в магазине)","@nEW, o?^",159457517 2862226303 459434382
1078,МАГИЧЕСКИЕ КАРТЫ,|xb,2046266983 2563328857 2890972550
1079,"Если последние {0} полученных навыков принадлежат к одной ветке, вы получаете {1} случайных навыка из этой ветки.","Gt, uV",2918945551 3831755107 267445286
1080,КОРОБКА С СЮРПРИЗОМ,"_h, RM",3217119424 2089470900 1554395747
1081,Вы изучаете {0} случайных навыков.,"Iq,i",331209852 1686931245 4004515579
1082,БРОНЯ ЗАЩИТНИКА,IK$,3603694344 1275337286 2270292408
1083,"При поражении и получении урона от врага, снижает получаемый урон на {1}.","Hi<, V`, *j",3142450127 542360628 3427433139
1084,"При поражении и получении {0} и более урона  от врага, снижает получаемый урон на {1}.",,2924805824 1515119693 1256779646
1085,ТРИУМФАЛЬНЫЙ МЕЧ,"x~, pf, L }8",1254254484 2400221223 3635652159
1086,При победе вы дополнительно получите {0} золота.,"x9,, 45",4050917894 3073765432 579338713
1087,АПТЕЧКА,"""2, E:, *t",2727462030 1938332840 3585514532
1088,"Если в начале раунда у вас менее {0} жизней игрока, автоматически восстанавливает {1} жизни.","<&zK, ~%^",2052285661 4222312311 1034429821
1089,УЧЕБНЫЕ ЗАМЕТКИ,{9U.,3188554404 3751233969 815368822
1090,Редкие навыки дополнительно дают {1} опыта.,"5'`, x;,p",3133892083 2936359414 2147107910
1091,СВЯЩЕННАЯ РЕЛИКВИЯ,"cB, !@",3325614524 3470307402 2141079335
1092,т {0} бесплатных обновлений(суммируется).,,3798904451 2970017388 4108314604
1093,КАРМАННЫЕ ЧАСЫ С ПЕЧАТЬЮ,0j,3601111771 2408163918 1074449811
1094,"Вы можете запретить 1 ветку, навыки из нее не будут появляться в магазине. Получение сокровища да","F@, q>",2387677778 2274501972 3173788190
1095,т дополнительные {0} золота.,X[?,3815141962 3474915588 3392270697
1096,ШЛЯПА ЖАДНОГО ПИРАТА,"cEC, fRJ",3892453208 948629458 1447268144
1097,"После окончания каждого матча вы получите дополнительное золото, равное 20","?lkj, hZ",1046896753 941517833 2333509601
1098,от общего процентного дохода всех остальных игроков (с округлением вверх).,,2667900575 370021050 630607025
1099,"После окончания каждого матча вы получите дополнительное золото, равное 30",Y_,878202903 4091865433 1813327995
1100,ЗОЛОТОЙ КУБОК,"I2, ?z, |Y""P",1651636800 1120341121 4206096458
1101,"Начальное золото: {0}. Удваивается при победе, теряется при поражении. Активация: забрать вс",~C<,2037393012 1090348568 2608245693
